"FrameId","VesicleId","MovieName","IntCh0","IntCh1","xCoord","yCoord","radius","bg0","bg1","Net0","Net1","Norm0","Norm1","rad_mean","rad_sd","rad_cv"
10,1041,"2ch_IP6_001_pos006.tif",177.61,3463.09,816,639,121,138,165,39.61,3298.09,1.28645664176681,0.692345155500509,119.738235294118,1.14653409943903,0.00957533820857436
11,1041,"2ch_IP6_001_pos006.tif",175.88,4374.58,814,638,120.45,138,149,37.88,4225.58,1.23026956804157,0.887046697385408,119.738235294118,1.14653409943903,0.00957533820857436
12,1041,"2ch_IP6_001_pos006.tif",189.02,5446.12,817,638,120.45,143,151,46.02,5295.12,1.49464111724586,1.11156781039749,119.738235294118,1.14653409943903,0.00957533820857436
13,1041,"2ch_IP6_001_pos006.tif",193.37,5787.65,817,638,120.45,148,155,45.37,5632.65,1.47353036700227,1.18242314191849,119.738235294118,1.14653409943903,0.00957533820857436
14,1041,"2ch_IP6_001_pos006.tif",196.65,6119.84,817,638,120.45,150,163,46.65,5956.84,1.51510230594349,1.25047809977643,119.738235294118,1.14653409943903,0.00957533820857436
15,1041,"2ch_IP6_001_pos006.tif",199.08,6271.85,814,637,117.7,152,153,47.08,6118.85,1.52906787918155,1.28448773524503,119.738235294118,1.14653409943903,0.00957533820857436
16,1041,"2ch_IP6_001_pos006.tif",202.8,6214.33,816,637,119.35,152,148,50.8,6066.33,1.64988632672946,1.27346257596591,119.738235294118,1.14653409943903,0.00957533820857436
0,1042,"2ch_IP6_001_pos006.tif",161.61,5018.41,1038,820,102.85,132,152,29.61,4866.41,1,1,102.202941176471,0.590939555981429,0.00578202103754599
1,1042,"2ch_IP6_001_pos006.tif",164.12,4814,1038,821,103.4,133,148,31.12,4666,1.05099628503884,0.958817691070008,102.202941176471,0.590939555981429,0.00578202103754599
2,1042,"2ch_IP6_001_pos006.tif",166.89,4996.38,1038,821,102.3,134,142,32.89,4854.38,1.11077338736913,0.997527951816637,102.202941176471,0.590939555981429,0.00578202103754599
3,1042,"2ch_IP6_001_pos006.tif",168.39,5173.89,1036,820,102.85,135,141,33.39,5032.89,1.12765957446808,1.03421002340534,102.202941176471,0.590939555981429,0.00578202103754599
4,1042,"2ch_IP6_001_pos006.tif",170.19,5255.53,1036,819,102.85,137,151,33.19,5104.53,1.1209050996285,1.04893134774916,102.202941176471,0.590939555981429,0.00578202103754599
5,1042,"2ch_IP6_001_pos006.tif",172.15,5592.86,1035,821,101.75,138,144,34.15,5448.86,1.15332657885849,1.11968781915211,102.202941176471,0.590939555981429,0.00578202103754599
6,1042,"2ch_IP6_001_pos006.tif",173.99,5317.48,1036,820,102.3,139,137,34.99,5180.48,1.18169537318473,1.06453833524097,102.202941176471,0.590939555981429,0.00578202103754599
7,1042,"2ch_IP6_001_pos006.tif",175.74,5396.79,1036,820,102.3,140,154,35.74,5242.79,1.20702465383316,1.07734243518323,102.202941176471,0.590939555981429,0.00578202103754599
8,1042,"2ch_IP6_001_pos006.tif",178.75,5553.64,1036,818,102.3,141,143,37.75,5410.64,1.27490712597096,1.11183398028526,102.202941176471,0.590939555981429,0.00578202103754599
9,1042,"2ch_IP6_001_pos006.tif",179.4,5139.82,1036,821,102.85,141,145,38.4,4994.82,1.29685916919959,1.02638700808193,102.202941176471,0.590939555981429,0.00578202103754599
